0	NOP	1	4	- - - -
1	LD BC,d16	3	12	- - - -
2	LD (BC),A	1	8	- - - -
3	INC BC	1	8	- - - -
4	INC B	1	4	Z 0 H -
5	DEC B	1	4	Z 1 H -
6	LD B,d8	2	8	- - - -
7	RLCA	1	4	0 0 0 C
8	LD (a16),SP	3	20	- - - -
9	ADD HL,BC	1	8	- 0 H C
10	LD A,(BC)	1	8	- - - -
11	DEC BC	1	8	- - - -
12	INC C	1	4	Z 0 H -
13	DEC C	1	4	Z 1 H -
14	LD C,d8	2	8	- - - -
15	RRCA	1	4	0 0 0 C
16	STOP	2	4	- - - -
17	LD DE,d16	3	12	- - - -
18	LD (DE),A	1	8	- - - -
19	INC DE	1	8	- - - -
20	INC D	1	4	Z 0 H -
21	DEC D	1	4	Z 1 H -
22	LD D,d8	2	8	- - - -
23	RLA	1	4	0 0 0 C
24	JR r8	2	12	- - - -
25	ADD HL,DE	1	8	- 0 H C
26	LD A,(DE)	1	8	- - - -
27	DEC DE	1	8	- - - -
28	INC E	1	4	Z 0 H -
29	DEC E	1	4	Z 1 H -
30	LD E,d8	2	8	- - - -
31	RRA	1	4	0 0 0 C
32	JR NZ,r8	2	12/8	- - - -
33	LD HL,d16	3	12	- - - -
34	LD (HL+),A	1	8	- - - -
35	INC HL	1	8	- - - -
36	INC H	1	4	Z 0 H -
37	DEC H	1	4	Z 1 H -
38	LD H,d8	2	8	- - - -
39	DAA	1	4	Z - 0 C
40	JR Z,r8	2	12/8	- - - -
41	ADD HL,HL	1	8	- 0 H C
42	LD A,(HL+)	1	8	- - - -
43	DEC HL	1	8	- - - -
44	INC L	1	4	Z 0 H -
45	DEC L	1	4	Z 1 H -
46	LD L,d8	2	8	- - - -
47	CPL	1	4	- 1 1 -
48	JR NC,r8	2	12/8	- - - -
49	LD SP,d16	3	12	- - - -
50	LD (HL-),A	1	8	- - - -
51	INC SP	1	8	- - - -
52	INC (HL)	1	12	Z 0 H -
53	DEC (HL)	1	12	Z 1 H -
54	LD (HL),d8	2	12	- - - -
55	SCF	1	4	- 0 0 1
56	JR C,r8	2	12/8	- - - -
57	ADD HL,SP	1	8	- 0 H C
58	LD A,(HL-)	1	8	- - - -
59	DEC SP	1	8	- - - -
60	INC A	1	4	Z 0 H -
61	DEC A	1	4	Z 1 H -
62	LD A,d8	2	8	- - - -
63	CCF	1	4	- 0 0 C
64	LD B,B	1	4	- - - -
65	LD B,C	1	4	- - - -
66	LD B,D	1	4	- - - -
67	LD B,E	1	4	- - - -
68	LD B,H	1	4	- - - -
69	LD B,L	1	4	- - - -
