opcode,bytes,duration,flags,code
0,1,4,----,NOP()
1,3,12,----,"LD(BC,U16)"
2,1,8,----,"LD(Load(BC),A)"
3,1,8,----,INC(BC)
4,1,4,Z0H-,INC(B)
5,1,4,Z1H-,DEC(B)
6,2,8,----,"LD(B,U8)"
7,1,4,000C,{ii.RLC(A);registers.setFZ(0);}
8,3,20,----,"LD(Load16(U16),SP)"
9,1,8,-0HC,"ADD(HL,BC)"
A,1,8,----,"LD(A,Load(BC))"
B,1,8,----,DEC(BC)
C,1,4,Z0H-,INC(C)
D,1,4,Z1H-,DEC(C)
E,2,8,----,"LD(C,U8)"
F,1,4,000C,{ii.RRC(A);registers.setFZ(0);}
10,2,4,----,STOP()
11,3,12,----,"LD(DE,U16)"
12,1,8,----,"LD(Load(DE),A)"
13,1,8,----,INC(DE)
14,1,4,Z0H-,INC(D)
15,1,4,Z1H-,DEC(D)
16,2,8,----,"LD(D,U8)"
17,1,4,000C,{ii.RL(A);registers.setFZ(0);}
18,2,12,----,"JR(CT,I8)"
19,1,8,-0HC,"ADD(HL,DE)"
1A,1,8,----,"LD(A,Load(DE))"
1B,1,8,----,DEC(DE)
1C,1,4,Z0H-,INC(E)
1D,1,4,Z1H-,DEC(E)
1E,2,8,----,"LD(E,U8)"
1F,1,4,000C,{ii.RR(A);registers.setFZ(0);}
20,2,12/8,----,"JR(CNZ,I8)"
21,3,12,----,"LD(HL,U16)"
22,1,8,----,"{ii.LD(Load(HL),A);ii.INC(HL);}"
23,1,8,----,INC(HL)
24,1,4,Z0H-,INC(H)
25,1,4,Z1H-,DEC(H)
26,2,8,----,"LD(H,U8)"
27,1,4,Z-0C,DAA()
28,2,12/8,----,"JR(CZ,I8)"
29,1,8,-0HC,"ADD(HL,HL)"
2A,1,8,----,"{ii.LD(A,Load(HL));ii.INC(HL);}"
2B,1,8,----,DEC(HL)
2C,1,4,Z0H-,INC(L)
2D,1,4,Z1H-,DEC(L)
2E,2,8,----,"LD(L,U8)"
2F,1,4,-11-,CPL()
30,2,12/8,----,"JR(CNC,I8)"
31,3,12,----,"LD(SP,U16)"
32,1,8,----,"{ii.LD(Load(HL),A);ii.DEC(HL);}"
33,1,8,----,INC(SP)
34,1,12,Z0H-,INC(Load(HL))
35,1,12,Z1H-,DEC(Load(HL))
36,2,12,----,"LD(Load(HL),U8)"
37,1,4,-001,SCF()
38,2,12/8,----,"JR(CC,I8)"
39,1,8,-0HC,"ADD(HL,SP)"
3A,1,8,----,"{ii.LD(A,Load(HL));ii.DEC(HL);}/*LD(A,Load(HLDEC))*/"
3B,1,8,----,DEC(SP)
3C,1,4,Z0H-,INC(A)
3D,1,4,Z1H-,DEC(A)
3E,2,8,----,"LD(A,U8)"
3F,1,4,-00C,CCF()
40,1,4,----,"LD(B,B)"
41,1,4,----,"LD(B,C)"
42,1,4,----,"LD(B,D)"
43,1,4,----,"LD(B,E)"
44,1,4,----,"LD(B,H)"
45,1,4,----,"LD(B,L)"
46,1,8,----,"LD(B,Load(HL))"
47,1,4,----,"LD(B,A)"
48,1,4,----,"LD(C,B)"
49,1,4,----,"LD(C,C)"
4A,1,4,----,"LD(C,D)"
4B,1,4,----,"LD(C,E)"
4C,1,4,----,"LD(C,H)"
4D,1,4,----,"LD(C,L)"
4E,1,8,----,"LD(C,Load(HL))"
4F,1,4,----,"LD(C,A)"
50,1,4,----,"LD(D,B)"
51,1,4,----,"LD(D,C)"
52,1,4,----,"LD(D,D)"
53,1,4,----,"LD(D,E)"
54,1,4,----,"LD(D,H)"
55,1,4,----,"LD(D,L)"
56,1,8,----,"LD(D,Load(HL))"
57,1,4,----,"LD(D,A)"
58,1,4,----,"LD(E,B)"
59,1,4,----,"LD(E,C)"
5A,1,4,----,"LD(E,D)"
5B,1,4,----,"LD(E,E)"
5C,1,4,----,"LD(E,H)"
5D,1,4,----,"LD(E,L)"
5E,1,8,----,"LD(E,Load(HL))"
5F,1,4,----,"LD(E,A)"
60,1,4,----,"LD(H,B)"
61,1,4,----,"LD(H,C)"
62,1,4,----,"LD(H,D)"
63,1,4,----,"LD(H,E)"
64,1,4,----,"LD(H,H)"
65,1,4,----,"LD(H,L)"
66,1,8,----,"LD(H,Load(HL))"
67,1,4,----,"LD(H,A)"
68,1,4,----,"LD(L,B)"
69,1,4,----,"LD(L,C)"
6A,1,4,----,"LD(L,D)"
6B,1,4,----,"LD(L,E)"
6C,1,4,----,"LD(L,H)"
6D,1,4,----,"LD(L,L)"
6E,1,8,----,"LD(L,Load(HL))"
6F,1,4,----,"LD(L,A)"
70,1,8,----,"LD(Load(HL),B)"
71,1,8,----,"LD(Load(HL),C)"
72,1,8,----,"LD(Load(HL),D)"
73,1,8,----,"LD(Load(HL),E)"
74,1,8,----,"LD(Load(HL),H)"
75,1,8,----,"LD(Load(HL),L)"
76,1,4,----,HALT()
77,1,8,----,"LD(Load(HL),A)"
78,1,4,----,"LD(A,B)"
79,1,4,----,"LD(A,C)"
7A,1,4,----,"LD(A,D)"
7B,1,4,----,"LD(A,E)"
7C,1,4,----,"LD(A,H)"
7D,1,4,----,"LD(A,L)"
7E,1,8,----,"LD(A,Load(HL))"
7F,1,4,----,"LD(A,A)"
80,1,4,Z0HC,"ADD(A,B)"
81,1,4,Z0HC,"ADD(A,C)"
82,1,4,Z0HC,"ADD(A,D)"
83,1,4,Z0HC,"ADD(A,E)"
84,1,4,Z0HC,"ADD(A,H)"
85,1,4,Z0HC,"ADD(A,L)"
86,1,8,Z0HC,"ADD(A,Load(HL))"
87,1,4,Z0HC,"ADD(A,A)"
88,1,4,Z0HC,"ADC(A,B)"
89,1,4,Z0HC,"ADC(A,C)"
8A,1,4,Z0HC,"ADC(A,D)"
8B,1,4,Z0HC,"ADC(A,E)"
8C,1,4,Z0HC,"ADC(A,H)"
8D,1,4,Z0HC,"ADC(A,L)"
8E,1,8,Z0HC,"ADC(A,Load(HL))"
8F,1,4,Z0HC,"ADC(A,A)"
90,1,4,Z1HC,SUB(B)
91,1,4,Z1HC,SUB(C)
92,1,4,Z1HC,SUB(D)
93,1,4,Z1HC,SUB(E)
94,1,4,Z1HC,SUB(H)
95,1,4,Z1HC,SUB(L)
96,1,8,Z1HC,SUB(Load(HL))
97,1,4,Z1HC,SUB(A)
98,1,4,Z1HC,SBC(B)
99,1,4,Z1HC,SBC(C)
9A,1,4,Z1HC,SBC(D)
9B,1,4,Z1HC,SBC(E)
9C,1,4,Z1HC,SBC(H)
9D,1,4,Z1HC,SBC(L)
9E,1,8,Z1HC,SBC(Load(HL))
9F,1,4,Z1HC,SBC(A)
A0,1,4,Z010,AND(B)
A1,1,4,Z010,AND(C)
A2,1,4,Z010,AND(D)
A3,1,4,Z010,AND(E)
A4,1,4,Z010,AND(H)
A5,1,4,Z010,AND(L)
A6,1,8,Z010,AND(Load(HL))
A7,1,4,Z010,AND(A)
A8,1,4,Z000,XOR(B)
A9,1,4,Z000,XOR(C)
AA,1,4,Z000,XOR(D)
AB,1,4,Z000,XOR(E)
AC,1,4,Z000,XOR(H)
AD,1,4,Z000,XOR(L)
AE,1,8,Z000,XOR(Load(HL))
AF,1,4,Z000,XOR(A)
B0,1,4,Z000,OR(B)
B1,1,4,Z000,OR(C)
B2,1,4,Z000,OR(D)
B3,1,4,Z000,OR(E)
B4,1,4,Z000,OR(H)
B5,1,4,Z000,OR(L)
B6,1,8,Z000,OR(Load(HL))
B7,1,4,Z000,OR(A)
B8,1,4,Z1HC,CP(B)
B9,1,4,Z1HC,CP(C)
BA,1,4,Z1HC,CP(D)
BB,1,4,Z1HC,CP(E)
BC,1,4,Z1HC,CP(H)
BD,1,4,Z1HC,CP(L)
BE,1,8,Z1HC,CP(Load(HL))
BF,1,4,Z1HC,CP(A)
C0,1,20/8,----,RET(CNZ)
C1,1,12,----,POP(BC)
C2,3,16/12,----,"JP(CNZ,U16)"
C3,3,16,----,"JP(CT,U16)"
C4,3,24/12,----,"CALL(CNZ,U16)"
C5,1,16,----,PUSH(BC)
C6,2,8,Z0HC,"ADD(A,U8)"
C7,1,16,----,RST(0x00)
C8,1,20/8,----,RET(CZ)
C9,1,16,----,RET(CT)
CA,3,16/12,----,"JP(CZ,U16)"
CB,1,4,----,PREFIX(CB)
CC,3,24/12,----,"CALL(CZ,U16)"
CD,3,24,----,"CALL(CT,U16)"
CE,2,8,Z0HC,"ADC(A,U8)"
CF,1,16,----,RST(0x08)
D0,1,20/8,----,RET(CNC)
D1,1,12,----,POP(DE)
D2,3,16/12,----,"JP(CNC,U16)"
D3,,,,ERR()
D4,3,24/12,----,"CALL(CNC,U16)"
D5,1,16,----,PUSH(DE)
D6,2,8,Z1HC,SUB(U8)
D7,1,16,----,RST(0x10)
D8,1,20/8,----,RET(CC)
D9,1,16,----,{ii.RET(CT);ii.EI();}
DA,3,16/12,----,"JP(CC,U16)"
DB,,,,ERR()
DC,3,24/12,----,"CALL(CC,U16)"
DD,,,,ERR()
DE,2,8,Z1HC,SBC(U8)
DF,1,16,----,RST(0x18)
E0,2,12,----,"LD(IO(U8),A)"
E1,1,12,----,POP(HL)
E2,2,8,----,"LD(IO(C),A)"
E3,,,,ERR()
E4,,,,ERR()
E5,1,16,----,PUSH(HL)
E6,2,8,Z010,AND(U8)
E7,1,16,----,RST(0x20)
E8,2,16,00HC,"ADD(SP,I8)"
E9,1,4,----,"JP(CT,(HL))"
EA,3,16,----,"LD(Load(U16),A)"
