opcode,bytes,duration,flags,code,nmemonic,Op1,Op2
0,1,4,----,NOP()
1,3,12,----,"LD16(BC,Imm16)",LD16,BC,Imm16
2,1,8,----,"LD8(Load8(BC),A)",LD8,Load8 BC,A
3,1,8,----,INC(BC),INC,BC
4,1,4,Z0H-,INC(B),INC,B
5,1,4,Z1H-,DEC(B),DEC,B
6,2,8,----,"LD8(B,Imm8)",LD8,B,Imm8
7,1,4,000C,RLCA(),RLCA
8,3,20,----,"LD16(Load16(Imm16),SP)",LD16,Load16 Imm16,SP
9,1,8,-0HC,"ADD(HL,BC)",ADD,HL,BC
A,1,8,----,"LD8(A,Load8(BC))",LD8,A,Load8 BC
B,1,8,----,DEC(BC)
C,1,4,Z0H-,INC(C)
D,1,4,Z1H-,DEC(C)
E,2,8,----,"LD8(C,Imm8)"
F,1,4,000C,RRCA()
10,2,4,----,STOP()
11,3,12,----,"LD16(DE,Imm16)"
12,1,8,----,"LD8(Load8(DE),A)"
13,1,8,----,INC(DE)
14,1,4,Z0H-,INC(D)
15,1,4,Z1H-,DEC(D)
16,2,8,----,"LD8(D,Imm8)"
17,1,4,000C,RLA()
18,2,12,----,"JR(CT,ImmI8)"
19,1,8,-0HC,"ADD(HL,DE)"
1A,1,8,----,"LD8(A,Load8(DE))"
1B,1,8,----,DEC(DE)
1C,1,4,Z0H-,INC(E)
1D,1,4,Z1H-,DEC(E)
1E,2,8,----,"LD8(E,Imm8)"
1F,1,4,000C,RRA()
20,2,12/8,----,"JR(CNZ,ImmI8)"
21,3,12,----,"LD16(HL,Imm16)"
22,1,8,----,"LD8(Inc8(HL),A)"
23,1,8,----,INC(HL)
24,1,4,Z0H-,INC(H)
25,1,4,Z1H-,DEC(H)
26,2,8,----,"LD8(H,Imm8)"
27,1,4,Z-0C,DAA()
28,2,12/8,----,"JR(CZ,ImmI8)"
29,1,8,-0HC,"ADD(HL,HL)"
2A,1,8,----,"LD8(A,Inc8(HL))"
2B,1,8,----,DEC(HL)
2C,1,4,Z0H-,INC(L)
2D,1,4,Z1H-,DEC(L)
2E,2,8,----,"LD8(L,Imm8)"
2F,1,4,-11-,CPL()
30,2,12/8,----,"JR(CNC,ImmI8)"
31,3,12,----,"LD16(SP,Imm16)"
32,1,8,----,"LD8(Dec8(HL),A)"
33,1,8,----,INC(SP)
34,1,12,Z0H-,INC(Load8(HL))
35,1,12,Z1H-,DEC(Load8(HL))
36,2,12,----,"LD8(Load8(HL),Imm8)"
37,1,4,-001,SCF()
38,2,12/8,----,"JR(CC,ImmI8)"
39,1,8,-0HC,"ADD(HL,SP)"
3A,1,8,----,"LD8(A,Dec8(HL))"
3B,1,8,----,DEC(SP)
3C,1,4,Z0H-,INC(A)
3D,1,4,Z1H-,DEC(A)
3E,2,8,----,"LD8(A,Imm8)"
3F,1,4,-00C,CCF()
40,1,4,----,"LD8(B,B)"
41,1,4,----,"LD8(B,C)"
42,1,4,----,"LD8(B,D)"
43,1,4,----,"LD8(B,E)"
44,1,4,----,"LD8(B,H)"
45,1,4,----,"LD8(B,L)"
46,1,8,----,"LD8(B,Load8(HL))"
47,1,4,----,"LD8(B,A)"
48,1,4,----,"LD8(C,B)"
49,1,4,----,"LD8(C,C)"
4A,1,4,----,"LD8(C,D)"
4B,1,4,----,"LD8(C,E)"
4C,1,4,----,"LD8(C,H)"
4D,1,4,----,"LD8(C,L)"
4E,1,8,----,"LD8(C,Load8(HL))"
4F,1,4,----,"LD8(C,A)"
50,1,4,----,"LD8(D,B)"
51,1,4,----,"LD8(D,C)"
52,1,4,----,"LD8(D,D)"
53,1,4,----,"LD8(D,E)"
54,1,4,----,"LD8(D,H)"
55,1,4,----,"LD8(D,L)"
56,1,8,----,"LD8(D,Load8(HL))"
57,1,4,----,"LD8(D,A)"
58,1,4,----,"LD8(E,B)"
59,1,4,----,"LD8(E,C)"
5A,1,4,----,"LD8(E,D)"
5B,1,4,----,"LD8(E,E)"
5C,1,4,----,"LD8(E,H)"
5D,1,4,----,"LD8(E,L)"
5E,1,8,----,"LD8(E,Load8(HL))"
5F,1,4,----,"LD8(E,A)"
60,1,4,----,"LD8(H,B)"
61,1,4,----,"LD8(H,C)"
62,1,4,----,"LD8(H,D)"
63,1,4,----,"LD8(H,E)"
64,1,4,----,"LD8(H,H)"
65,1,4,----,"LD8(H,L)"
66,1,8,----,"LD8(H,Load8(HL))"
67,1,4,----,"LD8(H,A)"
68,1,4,----,"LD8(L,B)"
69,1,4,----,"LD8(L,C)"
6A,1,4,----,"LD8(L,D)"
6B,1,4,----,"LD8(L,E)"
6C,1,4,----,"LD8(L,H)"
6D,1,4,----,"LD8(L,L)"
6E,1,8,----,"LD8(L,Load8(HL))"
6F,1,4,----,"LD8(L,A)"
70,1,8,----,"LD8(Load8(HL),B)"
71,1,8,----,"LD8(Load8(HL),C)"
